"","TICKER","CIK","CONAME"
"6923","KEM",887730,"KEMET CORP"
"6925","KEM",887730,"KEMET CORPORATION"
"6926","KEM",55195,"KEMPER CORP"
"6929","KEX",56047,"KIRBY CORP"
"6934","KEY",91576,"KEYCORP"
"6936","KEY",91576,"KEYCORP NEW"
"6942","KEYC",723648,"KEY CENTURION BANCSHARES"
"6943","KFRC",930420,"KFORCE INC"
"6944","KFT",1103982,"KRAFT FOODS INC"
"6947","KFY",56679,"KORN FERRY INTERNATIONAL"
"6949","KG",1047699,"KING PHARMACEUTICALS INC"
"6952","KGE",54496,"KANSAS GAS & ELEC CO"
"6953","KGM",55454,"KERR GROUP INC"
"6955","KII",55642,"KEYSTONE INTERNATIONAL INC"
"6958","KIM",879101,"KIMCO REALTY CORP"
"6960","KIND",832812,"KINDER CARE LEARNING CTRS INC"
"6961","KKD",1100270,"KRISPY KREME DOUGHNUTS INC"
"6963","KLAC",319201,"K L A INSTRUMENTS CORP"
"6966","KLAC",319201,"K L A TENCOR CORP"
"6968","KLAC",319201,"KLA TENCOR CORP"
"6971","KLIC",56978,"KULICKE & SOFFA INDS INC"
"6975","KLIC",56978,"KULICKE & SOFFA INDUSTRIES INC"
"6977","KLIC",56978,"KULICKE & SOFFA INDUSTRIES"
"6978","KLT",1143068,"KANSAS CITY PWR & LT CO"
"6983","KM",1310067,"K MART CORP"
"6988","KM",1310067,"KMART CORP"
"6989","KMAG",813347,"KOMAG INC"
"6992","KMB",55785,"KIMBERLY CLARK CORP"
"7000","KMET",887730,"KEMET CORP"
"7002","KMG",1141185,"KERR MCGEE CORP"
"7010","KMI",54502,"KINDER MORGAN INC"
"7013","KMT",55242,"KENNAMETAL INC"
"7021","KMX",1170010,"CARMAX INC"
"7023","KND",1060009,"KINDRED HEALTHCARE INC"
"7024","KNE",54502,"K N ENERGY INC"
"7029","KNGT",929452,"KNIGHT TRANSPORTATION INC"
"7030","KNL",1011570,"KNOLL INC"
"7031","KNSY",1002811,"KENSEY NASH CORP"
"7032","KNT",793024,"KENT ELECTRONICS CORP"
"7034","KNX",929452,"KNIGHT TRANSPORTATION INC"
"7035","KO",21344,"COCA COLA CO"
"7042","KO",21344,"THE COCA COLA COMPANY"
"7043","KOG",355357,"KOGER PROPERTIES INC"
"7044","KOL",56583,"KOLLMORGEN CORP"
"7049","KOPN",771266,"KOPIN CORP"
"7052","KOSP",1018952,"KOS PHARMACEUTICALS INC"
"7055","KR",56873,"KROGER COMPANY"
"7060","KR",56873,"KROGER CO"
"7062","KR",56873,"THE KROGER CO"
"7063","KRB",870517,"M B N A CORP"
"7067","KRB",870517,"MBNA CORP"
"7069","KRC",1025996,"KILROY REALTY CORP"
"7071","KRE",829277,"CAPITAL RE CORP"
"7073","KRI",205520,"KNIGHT RIDDER INC"
"7081","KROL",1020476,"KROLL INC"
"7083","KRON",886903,"KRONOS INC"
"7088","KSE",1022916,"KEYSPAN ENERGY CORP"
"7089","KSE",1062379,"KEYSPAN CORP"
"7092","KSE",1062379,"KEYSPAN CORPORATION"
"7093","KSF",81381,"QUAKER STATE CORP"
"7097","KSS",885639,"KOHLS CORP"
"7099","KSS",885639,"KOHL'S CORP"
"7102","KSTN",717809,"KEYSTONE FINANCIAL INC"
"7104","KSU",54480,"KANSAS CITY SOUTHERN INDS INC"
"7109","KSU",54480,"KANSAS CITY SOUTHERN"
"7112","KSWS",862480,"K SWISS INC"
"7117","KT",54681,"KATY INDUSTRIES INC"
"7120","KTO",6720,"K 2 INC"
"7122","KTO",6720,"K2 INC"
"7125","KU",835715,"KENTUCKY UTILITIES CO"
"7126","KU",835715,"K U ENERGY CORP"
"7129","KUH",56955,"KUHLMAN CORP"
"7133","KV",57055,"K V PHARMACEUTICAL"
"7134","KWD",55080,"KELLWOOD COMPANY"
"7139","KWD",55080,"KELLWOOD CO"
"7142","KWP",756764,"KING WORLD PRODUCTIONS INC"
"7147","KWR",81362,"QUAKER CHEMICAL CORP"
"7152","KYPH",1123313,"KYPHON INC"
"7153","L",936372,"LIBERTY FINANCIAL COS INC"
"7154","L",1082114,"LIBERTY MEDIA CORP"
"7155","LA",793937,"L A GEAR INC"
"7157","LAB",1089044,"LABRANCHE & CO INC"
"7159","LABA",921948,"NICHOLS INSTITUTE INC"
"7160","LABH",830158,"LAB HOLDINGS INC"
"7161","LABSD",830158,"LABONE INC"
"7162","LADF",721669,"LADD FURNITURE INC"
"7167","LAF",716783,"LAFARGE CORP"
"7172","LAF",716783,"LAFARGE NORTH AMERICA INC"
"7175","LAMR",1090425,"LAMAR ADVERTISING CO"
"7177","LAMR",1090425,"LAMAR ADVERTISING COMPANY"
"7178","LANC",57515,"LANCASTER COLONY CORP"
"7186","LAUR",912766,"LAUREATE EDUCATION INC"
"7187","LAVA",1065034,"MAGMA DESIGN AUTOMATION INC"
"7188","LAW",58091,"LAWTER INTERNATIONAL INC"
"7192","LAWS",703604,"LAWSON PRODUCTS INC"
"7199","LAWS",703604,"LAWSON PRODUCTS"
"7200","LBNA",737287,"LIBERTY BANCORP INC OKLA"
"7202","LBRT",1085776,"LIBERATE TECHNOLOGIES"
"7204","LBY",902274,"LIBBEY INC"
"7210","LC",59229,"LIBERTY CORP SC"
"7215","LC",59229,"LIBERTY CORP"
"7217","LC",59229,"THE LIBERTY CORP"
"7218","LCAV",1003130,"LCA VISION INC"
"7219","LCE",60195,"LONE STAR INDUSTRIES INC"
"7222","LCI",899760,"L C I INTERNATIONAL INC"
"7223","LCOS",1007992,"LYCOS INC"
"7224","LDG",764762,"LONGS DRUG STORES INC"
"7229","LDG",764762,"LONGS DRUG STORES CORP"
"7232","LDL",60977,"LYDALL INC"
"7237","LDRY",908652,"LANDRYS SEAFOOD RESTAURANTS INC"
"7239","LE",799288,"LANDS END INC"
"7244","LE",799288,"LANDS' END"
"7245","LEA",842162,"LEAR SEATING CORP"
"7246","LEA",842162,"LEAR CORP"
"7250","LEA",842162,"LEAR CORPORATION"
"7251","LEAF",793604,"INTERLEAF INC"
"7254","LECH",798186,"LECHTERS INC"
"7257","LECO",59527,"LINCOLN ELECTRIC HOLDINGS INC"
"7261","LEE",58361,"LEE ENTERPRISES INC"
"7268","LEE",58361,"LEE ENTERPRISES"
"7269","LEG",58492,"LEGGETT & PLATT INC"
"7277","LEH",806085,"LEHMAN BROTHERS HOLDINGS INC"
"7282","LEN",920760,"LENNAR CORP"
"7290","LENS",831861,"CONCORD CAMERA CORP"
"7293","LES",796226,"LESLIE FAY COS INC"
"7295","LEVL",908985,"LEVEL ONE COMMUNICATIONS INC"
"7296","LEXR",1058289,"LEXAR MEDIA INC"
"7297","LF",1138951,"LEAPFROG ENTERPRISES INC"
"7298","LFB",60302,"LONGVIEW FIBRE CO"
"7306","LFC",60150,"LOMAS FINANCIAL CORP"
"7307","LFG",877355,"LANDAMERICA FINANCIAL GROUP INC"
"7311","LFUS",889331,"LITTELFUSE INC"
"7315","LFUS",889331,"LITTELFUSE"
"7316","LG",1126956,"LACLEDE GAS CO"
"7321","LG",1126956,"LACLEDE GROUP INC"
"7323","LG",1126956,"THE LACLEDE GROUP INC"
"7324","LGE",861388,"L G & E ENERGY CORP"
"7328","LGN",311946,"LOGICON INC"
"7331","LGND",886163,"LIGAND PHARMACEUTICALS INC"
"7332","LGNT",845607,"LEGENT CORP"
"7335","LGTO",859360,"LEGATO SYSTEMS INC"
"7338","LH",920148,"LABORATORY CORP AMERICA HLDGS"
"7341","LH",920148,"LABORATORY CORP OF AMERICA HOLDINGS"
"7343","LH",920148,"LABORATORY CORPORATION OF AMERICA HOLDINGS"
"7344","LHSG",1032330,"LHS GROUP INC"
"7345","LI",59479,"LILLY INDUSTRIES INC"
"7347","LII",1069202,"LENNOX INTERNATIONAL INC"
"7350","LIL",1062379,"LONG ISLAND LTG CO"
"7354","LIN",1023052,"LINENS N THINGS INC"
"7356","LIN",1023052,"LINENS 'N THINGS INC"
"7358","LIN",1023052,"LINENS 'N' THINGS INC"
"7359","LINB",59498,"LIN BROADCASTING CORP"
"7362","LIPO",786557,"LIPOSOME COMPANY INC"
"7364","LISB",916837,"LONG ISLAND BANCORP INC"
"7365","LIT",59880,"LITTON INDUSTRIES INC"
"7370","LIZ",352363,"LIZ CLAIBORNE INC"
"7377","LIZC",352363,"LIZ CLAIBORNE INC"
"7378","LJPC",920465,"LA JOLLA PHARMACEUTICAL CO"
"7380","LK",936468,"LOCKHEED CORP"
"7382","LLL",1056239,"L 3 COMMUNICATIONS HOLDINGS INC"
"7385","LLTC",791907,"LINEAR TECHNOLOGY CORP"
"7393","LLX",60512,"LOUISIANA LAND & EXPLORATION CO"
"7396","LLY",59478,"LILLY ELI & CO"
"7401","LLY",59478,"ELI LILLY AND CO"
"7404","LM",704051,"LEGG MASON INC"
"7411","LMRK",749510,"LANDMARK GRAPHICS CORP"
"7412","LMS",57497,"LAMSON & SESSIONS CO"
"7416","LMT",936468,"LOCKHEED MARTIN CORP"
"7422","LNC",59558,"LINCOLN NATIONAL CORP IN"
"7427","LNC",59558,"LINCOLN NATIONAL CORP"
"7430","LNCE",57528,"LANCE INC"
"7438","LNCR",882235,"LINCARE HOLDINGS INC"
"7443","LNN",836157,"LINDSAY MANUFACTURING CO"
"7448","LNR",1043044,"LNR PROPERTY CORP"
"7449","LNT",352541,"ALLIANT ENERGY CORP"
"7453","LNUX",1096199,"VA SOFTWARE CORP"
"7454","LNX",902270,"LENOX GROUP INC"
"7455","LNY",908652,"LANDRY'S RESTAURANTS INC"
"7458","LOC",60041,"LOCTITE CORP"
"7461","LOR",60357,"LORAL CORP"
"7464","LOTS",711761,"LOTUS DEVELOPMENT CORP"
"7466","LOU",861388,"L G & E ENERGY CORP"
"7467","LOW",60667,"LOWES COMPANIES INC"
"7472","LOW",60667,"LOWE'S COS INC"
"7474","LOW",60667,"LOWE'S COMPANIES INC"
"7475","LPAI",1062774,"LA PETITE ACADEMY INC"
"7477","LPG",886941,"LIFE PARTNERS GROUP INC"
"7478","LPNT",1301611,"LIFEPOINT HOSPITALS INC"
"7481","LPX",60519,"LOUISIANA PACIFIC CORP"
"7489","LQI",278243,"LA QUINTA INNS INC"
"7491","LQI",313749,"LA QUINTA CORP"
"7493","LQM",278243,"LA QUINTA INNS INC"
"7494","LRCX",707549,"LAM RESH CORP"
"7496","LRCX",707549,"LAM RESEARCH CORP"
"7500","LRE",890445,"LIFE RE CORP"
"7501","LRI",58172,"LEARONAL INC"
"7505","LRW",768899,"LABOR READY INC"
"7509","LRY",921112,"LIBERTY PROPERTY TRUST"
"7511","LSB",60714,"L S B INDUSTRIES INC"
"7512","LSCC",855658,"LATTICE SEMICONDUCTOR CORP"
"7517","LSI",703360,"L S I LOGIC CORP"
"7522","LSI",703360,"LSI LOGIC CORP"
"7525","LSON",1020616,"LASON INC"
"7526","LSS",791348,"LONE STAR TECHNOLOGIES INC"
"7530","LSS",791348,"LONE STAR TECHNOLOGIES"
"7531","LSST",791348,"LONE STAR TECHNOLOGIES INC"
"7534","LSTR",853816,"LANDSTAR SYSTEM INC"
"7539","LTD",701985,"LIMITED INC"
"7544","LTD",701985,"LIMITED BRANDS INC"
"7546","LTD",701985,"LIMITED BRANDS"
"7547","LTEC",320446,"LINCOLN TELECOMMUNICATIONS CO"
"7550","LTEK",727737,"LIFE TECHNOLOGIES INC"
"7551","LTR",60086,"LOEWS CORP"
"7559","LTRE",1002037,"LEARNING TREE INTERNATIONAL INC"
"7563","LTV",60731,"L T V CORP"
"7564","LTV",60731,"L T V CORP NEW"
"7567","LTXX",357020,"LTX CORP"
"7569","LTXX",357020,"LTX CORPORATION"
"7570","LU",1006240,"LUCENT TECHNOLOGIES INC"
"7575","LUB",16099,"LUBYS CAFETERIAS INC"
"7579","LUB",16099,"LUBYS INC"
"7580","LUB",16099,"LUBY'S INC"
"7582","LUC",60860,"LUKENS INC DE"
"7586","LUK",96223,"LEUCADIA NATIONAL CORP"
"7591","LUV",92380,"SOUTHWEST AIRLINES CO"
"7598","LUV",92380,"SOUTHWEST AIRLINES"
"7599","LVC",818008,"LILLIAN VERNON CORP"
"7602","LVCI",861875,"LASER VISION CENTERS INC"
"7603","LVLT",794323,"LEVEL 3 COMMUNICATIONS INC"
"7607","LWIN",1065049,"LEAP WIRELESS INTERNATIONAL INC"
"7608","LWSN",1141517,"LAWSON SOFTWARE"
"7609","LXK",1001288,"LEXMARK INTERNATIONAL GROUP INC"
"7613","LXK",1001288,"LEXMARK INTERNATIONAL INC"
"7614","LXP",910108,"LEXINGTON CORPORATE PROPERTIES TRUST"
"7615","LYO",842635,"LYONDELL PETROCHEMICAL CO"
"7620","LYO",842635,"LYONDELL CHEMICAL CO"
"7623","LZ",60751,"LUBRIZOL CORP"
"7630","LZ",60751,"THE LUBRIZOL CORP"
"7631","LZB",57131,"LA Z BOY CHAIR CO"
"7634","LZB",57131,"LA Z BOY INC"
"7639","MA",63416,"MAY DEPARTMENT STORES CO"
"7642","MAC",912242,"MACERICH CO"
"7645","MAC",912242,"THE MACERICH CO"
"7646","MACK",110624,"MACK TRUCKS INC"
"7647","MACR",913949,"MACROMEDIA INC"
"7650","MAFB",854662,"MAF BANCORP INC"
"7654","MAG",751085,"MAGNETEK INC"
"7662","MAGI",36094,"MAGNA GROUP INC"
"7663","MAH",45370,"HANNA M A CO DE"
"7668","MAI",65771,"M A COM INC"
"7671","MAN",871763,"MANPOWER INC WIS"
"7675","MAN",871763,"MANPOWER INC"
"7678","MANH",1056696,"MANHATTAN ASSOCIATES INC"
"7680","MANT",61986,"MANITOWOC INC"
"7681","MANT",892537,"MANTECH INTL CORP"
"7682","MANU",908440,"MANUGISTICS GROUP INC"
"7686","MAP",1222497,"MAINE PUBLIC SERVICE CO"
"7688","MAPS",916238,"MAPINFO CORP"
"7691","MAR",1048286,"MARRIOTT INTERNATIONAL INC"
"7697","MARY",893538,"ST MARY LAND & EXPLORATION CO"
"7700","MAS",62996,"MASCO CORP"
"7708","MAST",1024732,"MASTECH CORP"
"7709","MASX",745448,"MASCO INDUSTRIES INC"
"7710","MAT",63276,"MATTEL INC"
"7718","MATK",892025,"MARTEK BIOSCIENCES CORP"
"7719","MATW",63296,"MATTHEW'S INTERNATIONAL CORP"
"7720","MATW",63296,"MATTHEWS INTERNATIONAL CORP"
"7722","MAW",798671,"MID AMERICAN WASTE SYSTEMS INC"
"7723","MAXY",1068796,"MAXYGEN INC"
"7725","MAY",63416,"MAY DEPARTMENT STORES CO"
"7729","MB",719598,"MOLECULAR BIOSYSTEMS INC"
"7733","MBC",65705,"MICKELBERRY CORP"
"7735","MBC",65705,"MICKELBERRY COMMUNICATIONS INC"
"7736","MBFI",1139812,"MB FINANCIAL INC"
"7737","MBG",725549,"MANDALAY RESORT GROUP"
"7740","MBI",814585,"M B I A INC"
"7745","MBI",814585,"MBIA INC"
"7748","MBRS",1020996,"MEMBERWORKS INC"
"7750","MCA",1047241,"M C A INC"
"7751","MCAWA",818687,"MCCAW CELLULAR COMMS INC"
"7752","MCCC",1098659,"MEDIACOM COMMUNICATIONS CORP"
"7753","MCCRK",63754,"MCCORMICK & CO INC"
"7757","MCCS",1170650,"MEDCO CONTAINMENT SVCS INC"
"7759","MCD",63908,"MCDONALDS CORP"
"7764","MCD",63908,"MCDONALD'S CORP"
"7767","MCDTA",731502,"MCDATA CORP"
"7768","MCGC",1141299,"MCG CAPITAL CORP"
"7769","MCH",1018099,"MILLENIUM CHEMICALS INC"
"7771","MCH",1018099,"MILLENNIUM CHEMICALS INC"
"7773","MCHN",64970,"MERCHANTS NATIONAL CORP"
"7774","MCHP",827054,"MICROCHIP TECHNOLOGY INC"
"7780","MCIC",64079,"M C I COMMUNICATIONS CORP"
"7784","MCK",927653,"MCKESSON CORP"
"7786","MCK",927653,"MCKESSON CORP NEW"
"7788","MCK",927653,"MCKESSON HBOC INC"
"7792","MCLD",919943,"MCLEOD INC"
"7793","MCLD",919943,"MCLEODUSA INC"
"7795","MCN",837579,"M C N CORP"
"7798","MCN",837579,"M C N ENERGY GROUP INC"
"7800","MCO",1059556,"MOODY'S CORP"
"7802","MCO",1059556,"MOODY'S CORPORATION"
"7803","MCRL",932111,"MICREL INC"
"7806","MCRN",723125,"MICRON TECHNOLOGY INC"
"7807","MCRS",320345,"MICROS SYSTEMS INC"
"7811","MCS",62234,"MARCUS CORP"
"7815","MCS",62234,"THE MARCUS CORP"
"7816","MCU",61425,"MAGMA COPPER CO NEW"
"7819","MCY",64996,"MERCURY GENERAL CORP NEW"
"7820","MCY",64996,"MERCURY GENERAL CORP"
"7824","MD",63917,"MCDONNELL DOUGLAS CORP"
"7827","MDA",62142,"MAPCO INC"
"7831","MDC",773141,"M D C HOLDINGS INC"
"7836","MDC",773141,"MDC HOLDINGS INC"
"7839","MDCO",860521,"MARINE DRILLING COS INC"
"7840","MDCO",1113481,"MEDICINES COMPANY THE"
"7841","MDM",1000736,"MEDPARTNERS INC NEW"
"7843","MDP",65011,"MEREDITH CORP"
"7851","MDR",708819,"MCDERMOTT INTERNATIONAL INC"
"7852","MDS",1046131,"MIDAS INC"
"7855","MDSN",1161728,"MADISON GAS & ELECTRIC CO"
"7858","MDT",64670,"MEDTRONIC INC"
"7866","MDU",67716,"M D U RESOURCES GROUP INC"
"7871","MDU",67716,"MDU RESOURCES GROUP INC"
"7874","MDW",319668,"MIDWAY AIRLINES INC"
"7875","MEA",64394,"MEAD CORP"
"7881","MEAD",1032067,"MEADE INSTRUMENTS CORP"
"7884","MEC",1009526,"MIDAMERICAN ENERGY HOLDINGS CO"
"7886","MEDA",878556,"MEDAPHIS CORP"
"7887","MEDI",873591,"MEDIMMUNE INC"
"7892","MEDQ",884497,"MEDQUIST INC"
"7895","MEDX",874255,"MEDAREX INC"
"7897","MEE",37748,"MASSEY ENERGY CORP"
"7899","MEE",37748,"MASSEY ENERGY COMPANY"
"7900","MEG",216539,"MEDIA GENERAL INC"
"7904","MEGA",216539,"MEDIA GENERAL INC"
"7908","MEH",948845,"MIDWEST EXPRESS HOLDINGS INC"
"7910","MEI",64718,"M E I DIVERSIFIED INC"
"7911","MEI",64718,"MEI CORP"
"7912","MEL",64782,"MELLON BANK CORP"
"7917","MEL",64782,"MELLON FINANCIAL CORP"
"7920","MENT",701811,"MENTOR GRAPHICS CORP"
"7928","MER",65100,"MERRILL LYNCH & CO INC"
"7935","MER",65100,"MERRILL LYNCH & CO"
"7936","MERQ",867058,"MERCURY INTERACTIVE CORP"
"7940","MES",64803,"MELVILLE CORP"
"7943","MESA",810332,"MESA AIR GROUP INC NEV"
"7945","MESA",810332,"MESA AIR GROUP INC"
"7948","MET",1099219,"METLIFE INC"
"7951","METH",65270,"METHODE ELECTRONICS INC"
"7952","METH",65270,"METHODE ELECTRONICS"
"7953","METHA",65270,"METHODE ELECTRONICS INC"
"7956","MFE",890801,"MCAFEE INC"
"7957","MFI",78384,"MAC FRUGALS BARGINS CLOSE OUTS"
"7959","MFI",78384,"MACFRUGALS BARGAINS"
"7960","MFN",846378,"MERCURY FINANCE CO"
"7963","MFNX",1043533,"METROMEDIA FIBER NETWORK INC"
"7964","MGAM",896400,"MULTIMEDIA GAMES INC"
"7965","MGG",789570,"M G M GRAND INC"
"7967","MGG",789570,"MGM MIRAGE"
"7969","MGI",1273931,"MONEYGRAM INTERNATIONAL INC"
"7970","MGL",19411,"MAGELLAN HEALTH SERVICES INC"
"7973","MGM",316713,"M G M U A COMMMUNICATIONS"
"7974","MGM",789570,"MGM MIRAGE"
"7975","MGM",1026816,"METRO GOLDWYN MAYER INC"
"7976","MGMA",355878,"MAGMA POWER CO NEW"
"7977","MGR",36094,"MAGNA GROUP INC"
"7978","MGR",719721,"MERRY GO ROUND ENTERPRISES INC"
"7979","MHC",895417,"MANUFACTURED HOME COMMUNITIES INC"
"7982","MHC",62119,"MANUFACTURERS HANOVER CORP"
"7983","MHK",851968,"MOHAWK INDUSTRIES INC"
"7988","MHO",799292,"M I HOMES INC"
"7989","MHP",64040,"MCGRAW HILL INC"
"7991","MHP",64040,"MCGRAW HILL COS INC"
"7996","MHP",64040,"THE MCGRAW HILL COMPANIES INC"
"7997","MHS",1070750,"MARRIOTT CORP"
"7999","MHS",1170650,"MEDCO HEALTH SOLUTIONS INC"
"8001","MI",62741,"MARSHALL & ILSLEY CORP"
"8004","MI",62765,"MARSHALL INDUSTRIES"
"8009","MICA",814249,"MICROAGE INC"
"8011","MICU",1052547,"VICURON PHARMACEUTICALS"
"8012","MIDL",793548,"MIDLANTIC CORP"
"8015","MII",1035972,"MORTON INTERNATIONAL INC"
"8018","MII",1035972,"MORTON INTERNATIONAL INC NEW"
"8019","MIK",740670,"MICHAELS STORES INC"
"8022","MIKE",740670,"MICHAELS STORES INC"
"8025","MIKL",811930,"MICHAEL FOODS INC"
"8026","MIL",66479,"MILLIPORE CORP"
"8034","MINI",911109,"MOBILE MINI INC"
"8036","MIPS",1059786,"MIPS TECHNOLOGIES INC"
"8038","MIR",42246,"MIRAGE RESORTS INC"
"8042","MIR",1010775,"MIRANT CORP"
"8044","MIVA",1094808,"MIVA INC"
"8045","MK",906469,"MORRISON KNUDSEN CORP NEW"
"8047","MKC",62391,"MARION MERRELL DOW INC"
"8049","MKC",63754,"MCCORMICK & CO INC"
"8052","MKC",63754,"MCCORMICK & COMPANY INC"
"8053","MKG",51396,"MALLINCKRODT GROUP INC"
"8054","MKG",51396,"MALLINCKRODT INC NEW"
"8056","MKL",1096343,"MARKEL CORP"
"8059","MKSI",1049502,"MKS INSTRUMENTS INC"
"8062","MKT",814580,"ADVANCED MARKETING SERVICES INC"
"8063","MKTS",814580,"ADVANCED MARKETING SERVICES INC"
"8064","ML",897599,"MARTIN MARIETTA CORP"
"8065","ML",897599,"MARTIN MARIETTA CORP NEW"
"8066","MLG",832995,"MUSICLAND STORES CORP"
"8067","MLHR",66382,"MILLER HERMAN INC"
"8072","MLHR",66382,"HERMAN MILLER INC"
"8075","MLI",89439,"MUELLER INDUSTRIES INC"
"8079","MLI",89439,"MUELLER INDUSTRIES"
"8080","MLIS",718865,"MICROPOLIS CORP"
"8083","MLM",916076,"MARTIN MARIETTA MATERIALS INC"
"8087","MLM",916076,"MARTIN MARIETTA MATERIALS"
"8088","MLNM",1002637,"MILLENNIUM PHARMACEUTICALS INC"
"8091","MLR",924822,"MILLER INDUSTRIES INC TENN"
"8093","MLR",924822,"MILLER INDUSTRIES INC"
"8094","MLS",914713,"MILLS CORP"
"8095","MLS",914713,"THE MILLS CORPORATION"
"8096","MLTF",68803,"MULTIBANK FINANCIAL CORP"
"8097","MMC",62709,"MARSH & MCLENNAN COS INC"
"8104","MMC",62709,"MARSH & MCLENNAN COMPANIES INC"
"8105","MMD",74691,"MOORE MEDICAL CORP"
"8107","MME",805037,"MID ATLANTIC MEDICAL SVCS INC"
"8109","MME",805037,"MID ATLANTIC MEDICAL SERVICES INC"
"8111","MMEDC",68813,"MULTIMEDIA INC NEW"
"8114","MMG",39547,"METROMEDIA INTERNATIONAL GP INC"
"8116","MMG",39547,"METROMEDIA INTERNATIONAL GROUP INC"
"8117","MMI",767308,"MMI COS INC"
"8118","MMM",66740,"MINNESOTA MINING & MFG CO"
"8123","MMM",66740,"3M CO"
"8126","MMO",67532,"MONARCH MACHINE TOOL CO"
"8129","MMS",1032220,"MAXIMUS INC"
"8132","MMSI",856982,"MERIT MEDICAL SYSTEMS"
"8133","MMWW",1000366,"METAMOR WORLDWIDE INC"
"8134","MMZ",749922,"METRO MOBILE CTS INC"
"8135","MNC",62973,"M N C FINANCIAL INC"
"8137","MNC",910619,"MONACO COACH CORP"
"8140","MNCO",65660,"MICHIGAN NATIONAL CORP"
"8143","MND",311995,"MITCHELL ENERGY & DEV CORP"
"8144","MND",311995,"MITCHELL ENERGY & DEVELOPMENT CORP"
"8145","MNDA",311995,"MITCHELL ENERGY & DEV CORP"
"8147","MNES",66570,"MINE SAFETY APPLIANCES CO"
"8152","MNI",1056087,"MCCLATCHY CO"
"8154","MNI",1056087,"THE MCCLATCHY COMPANY"
"8155","MNR",354604,"MANOR CARE INC"
"8159","MNS",717238,"MACNEAL SCHWENDLER CORP"
"8163","MNS",717238,"MSC SOFTWARE CORP"
"8164","MNS",717238,"MSCSOFTWARE CORP"
"8166","MNST",1020416,"MONSTER WORLDWIDE INC"
"8168","MNT",64892,"MENTOR CORP"
"8170","MNTL",62126,"MANUFACTURERS NATIONAL CORP"
"8171","MNTR",64892,"MENTOR CORP MN"
"8173","MNTR",64892,"MENTOR CORP"
"8174","MNY",1069822,"MONY GROUP INC"
"8176","MO",764180,"PHILIP MORRIS COS INC"
"8182","MO",764180,"ALTRIA GROUP INC"
"8184","MOB",67182,"MOBIL CORP"
"8189","MOD",67347,"MODINE MANUFACTURING CO"
"8190","MODI",67347,"MODINE MANUFACTURING CO"
"8197","MOG",67887,"MOOG INC"
"8198","MOGN",702131,"MGI PHARMA INC"
"8201","MOLX",67472,"MOLEX INC"
"8209","MON",67516,"MONARCH CAPITAL CORP"
"8210","MON",876297,"MONEY STORE INC"
"8211","MON",1110783,"MONSANTO CO"
"8213","MOND",902276,"ROBERT MONDAVI CORP"
"8215","MORR",68270,"MORRISON INC"
"8216","MORR",68270,"MORRISON RESTAURANTS INC"
"8217","MOS",1285785,"MOSAIC CO"
"8218","MOT",68505,"MOTOROLA INC"
"8226","MOVI",925178,"MOVIE GALLERY INC"
"8228","MPL",66756,"MINNESOTA POWER & LIGHT CO"
"8232","MPL",66756,"MINNESOTA POWER INC"
"8233","MPN",882287,"MARINER POST ACUTE NETWORK INC"
"8234","MPO",919563,"MOTIVEPOWER INDUSTRIES INC"
"8235","MPP",1029456,"GENERAL CIGAR HOLDINGS INC"
"8237","MPS",924646,"MODIS PROFESSIONAL SERVICES INC"
"8238","MPS",924646,"MPS GROUP INC"
"8241","MRA",1113256,"MERITOR AUTOMOTIVE INC"
"8243","MRBK",64908,"MERCANTILE BANKSHARES CORP"
"8251","MRC",859151,"MILTON ROY CO"
"8252","MRCY",1049521,"MERCURY COMPUTER SYSTEMS INC"
"8255","MRD",61138,"MACDERMID INC"
"8259","MRDN",723916,"MERIDIAN BANCORP INC"
"8262","MRIS",62741,"MARSHALL & ILSLEY CORP"
"8267","MRK",64978,"MERCK & CO INC"
"8274","MRK",64978,"MERCK & CO"
"8275","MRL",860521,"MARINE DRILLING COS INC"
"8276","MRLL",790406,"MERRILL CORP"
"8278","MRN",763739,"MORRISON KNUDSEN CORP"
"8281","MRNR",900304,"MARINER HEALTH GROUP INC"
"8282","MRO",101778,"U S X MARATHON GROUP"
"8285","MRO",101778,"U S X CORP MARATHON STEEL DELPHI GROUPS"
"8286","MRO",101778,"MARATHON OIL CORP"
"8289","MROI",920354,"MRO SOFTWARE INC"
"8292","MRVC",887969,"MRV COMMUNICATIONS INC"
"8293","MRX",890207,"MEDICAL CARE AMERICA INC"
"8294","MRX",859368,"MEDICIS PHARMACEUTICAL CORP"
"8298","MS",895421,"MORGAN STANLEY GROUP INC"
"8301","MSA",64674,"MEDUSA CORP"
"8304","MSA",66570,"MINE SAFETY APPLIANCES CO"
"8307","MSC",755003,"MATERIAL SCIENCES CORP"
"8312","MSCA",790372,"M S CARRIERS INC"
"8314","MSCC",310568,"MICROSEMI CORP"
"8317","MSEL",724941,"MERISEL INC"
"8319","MSFT",789019,"MICROSOFT CORP"
"8327","MSII",731841,"MEDICINE SHOPPE INTL INC"
"8329","MSM",1003078,"MSC INDUSTRIAL DIRECT CO INC"
"8333","MSM",846340,"MOTTS HOLDINGS INC"
"8334","MSO",1091801,"MARTHA STEWART LIVING OMNIMEDIA INC"
"8336","MSPG",1102541,"MINDSPRING ENTERPRISES INC"
"8337","MST",64923,"MERCANTILE STORES INC"
